,0
Nrsn1,0.000788028549229
Osbpl1a,0.000787837293895
Pla2g7,0.000787358588192
Cltc,0.000786001444057
Pdyn,0.000784432987414
Pea15a,0.000782945501121
Phactr1,0.000779983602489
Ptpn5,0.000778396278064
Gm10076,0.000777528612693
Thra,0.000776616078756
Slc1a3,0.000776496079962
Erc2,0.000774028230219
Ephx4,0.000772151661075
Nrn1,0.000769784120867
Slc8a2,0.000769776217721
Mat2b,0.000769763585684
Aplp1,0.000767827273967
Cacng3,0.000767313641596
Ttc3,0.000766557889118
Chchd10,0.000766163118331
Grin2a,0.000765824957588
Ids,0.000764422737066
Resp18,0.000759143659671
Gng13,0.000758731662242
Sub1,0.000754761542304
Rpl31,0.000754588193518
Dgkz,0.000752759943921
Fam49a,0.000752555828059
Map2k1,0.000751096700069
Satb2,0.000749886428528
Ctnnb1,0.000749384341588
Prkar1b,0.000747999427841
Zwint,0.000747874709604
Rbfox3,0.000747253529286
S100b,0.000746251793213
Syngr1,0.000741792005293
Zcchc12,0.000741690367329
R3hdm1,0.000740927399734
Timm8b,0.000740440921284
Dmtn,0.000740316852558
Ttyh1,0.000740178424898
Rab6a,0.000739419799526
Mical2,0.000738663271514
Atp6v1d,0.000738631578309
Tubb5,0.000736341226951
Dynll2,0.000736212635429
Elmod1,0.000735113681042
Mapk10,0.000729882048999
Grin2b,0.000729521002577
Marcks,0.000727109610511
Klc1,0.000726523210075
Ensa,0.000726435645603
Rasgef1a,0.000726319900492
Srebf2,0.000724570988787
Cx3cl1,0.000722512741986
Slc25a3,0.000722292777343
Snx10,0.000721533798437
Adgrb1,0.000716776035285
Serpine2,0.000712972664549
Mllt11,0.000712434942099
Rora,0.000712422720333
Scn4b,0.000711946782292
Gnb1,0.000711913989001
Mal2,0.000711254611318
Cdkl5,0.000710554659551
Ldhb,0.00070806282213
Aqp4,0.000708061722767
Amph,0.000707674258116
Tac1,0.000707317322624
Etl4,0.000707047285921
Phf24,0.000704303841974
Glrb,0.000704197193192
Arf1,0.000699585400751
Zfr,0.000698170940169
Cox6b1,0.000696928615231
Ptprs,0.000695984746702
Camk2b,0.000694978011766
Kcnh3,0.000694480054451
Syt7,0.000693643645821
St8sia3,0.000693439120606
Skp1a,0.000692555604567
Dlg4,0.000691311256405
Ly6e,0.000690786340884
Cox7a2,0.000688977011083
Mmd,0.00068882774967
Kcnb1,0.000688558638064
Timp3,0.000688216027195
Ank2,0.000687990325101
Gabrg2,0.000686635879387
Kcnh7,0.000684792403346
Itm2c,0.000684171648122
Slc12a5,0.00068394079108
Atp6v1b2,0.000683210887165
Ywhaq,0.000681788837297
Lmo3,0.000681326824442
Gria3,0.00068079093208
Napb,0.000679596557956
Fbxw7,0.000678511876442
Got1,0.000677962617917
Pdp1,0.000677652200006
Scg5,0.000677554061807
Kndc1,0.00067742795959
Myeov2,0.00067595230273
Anks1b,0.000675557312309
Cspg5,0.000674850437317
Sncg,0.000674479032938
Phyhip,0.000673983263922
Cyp46a1,0.000672786559534
Gfap,0.000672278454069
Sipa1l1,0.000671963760029
Enpp2,0.000671134138471
Celf4,0.000669718666201
Bex2,0.000669455697951
Gnao1,0.000669359452798
Tuba1a,0.000669085745003
Trim37,0.000668755198825
Adgrl1,0.000668562063321
